active_employee,active_self_employed,active_unemployed,Inactive
0.110761,0.101304,0.039834,0.295315
0.110307,0.087096,0.040331,0.305986
0.104795,0.09603,0.033256,0.293375
0.109149,0.095773,0.037881,0.251899
0.104764,0.090979,0.03584,0.30536
0.109191,0.079078,0.033778,0.27948
0.108774,0.093284,0.029592,0.300312
0.105176,0.092407,0.030619,0.292187
0.096309,0.090277,0.025866,0.285042
0.104745,0.105768,0.020847,0.337255
0.109235,0.092876,0.028602,0.291082
0.105489,0.088908,0.026872,0.271393
0.106661,0.095124,0.031019,0.280583
0.095412,0.095307,0.024867,0.309333
0.097928,0.099744,0.036843,0.262601
0.105694,0.09007,0.026843,0.296215
0.104208,0.118904,0.020374,0.372244
0.105937,0.095989,0.029104,0.256218
0.102659,0.088643,0.038362,0.248663
0.103231,0.078334,0.022225,0.320743
0.093641,0.075581,0.01973,0.342844
0.099413,0.087174,0.029474,0.317722
0.112341,0.088083,0.026142,0.293099
0.094536,0.091113,0.023958,0.285141
0.100748,0.082665,0.028688,0.322366
0.104159,0.083807,0.014158,0.360763
0.105687,0.079958,0.021507,0.320095
0.104714,0.086644,0.029885,0.287617
0.106363,0.083225,0.033408,0.29477
0.109033,0.088354,0.038161,0.277658
0.102898,0.092945,0.025907,0.328893
0.103146,0.08875,0.036064,0.271891
0.080191,0.109603,0.022247,0.341126
0.091563,0.112775,0.027066,0.290431
0.100244,0.091783,0.029227,0.294449
0.093773,0.092093,0.027932,0.288039
0.093931,0.082954,0.02462,0.319116
0.092662,0.089427,0.025366,0.317976
0.099529,0.093852,0.026452,0.317792
0.102655,0.088732,0.025369,0.268791
0.094971,0.086236,0.026319,0.245268
0.104111,0.083842,0.027986,0.2407
0.094466,0.09211,0.021588,0.289939
0.091115,0.107076,0.021742,0.315948
0.099964,0.08395,0.033604,0.255732
0.093054,0.070795,0.052636,0.303264
0.104595,0.068214,0.06234,0.369114
0.104761,0.083151,0.034774,0.286529
0.111245,0.090607,0.033625,0.278969
0.098606,0.083985,0.041029,0.287997
0.107194,0.079832,0.046833,0.280898
0.114941,0.077002,0.044778,0.298642
0.099616,0.078625,0.042811,0.262659
0.109736,0.085106,0.043131,0.289662
0.110305,0.07516,0.038201,0.290899
0.098847,0.07642,0.038002,0.288859
0.10804,0.072236,0.039363,0.318886
0.108535,0.075391,0.048151,0.28229
0.103344,0.072485,0.045796,0.25362
0.098506,0.083986,0.042202,0.267001
0.119655,0.081295,0.04927,0.270632
0.115711,0.080945,0.052017,0.252389
0.125509,0.06668,0.053761,0.257975
0.072595,0.130138,0.024198,0.26317
0.115812,0.080708,0.044884,0.300082
0.125169,0.0786,0.047924,0.296045
0.086289,0.121408,0.033998,0.253516
0.072972,0.130459,0.031194,0.286096
0.077409,0.126593,0.028343,0.259617
0.090569,0.120019,0.038097,0.256983
0.108834,0.090828,0.044469,0.314863
0.107278,0.092888,0.040125,0.309012
0.116494,0.116392,0.047024,0.270973
0.120301,0.070044,0.051148,0.289968
0.091965,0.096793,0.037883,0.236213
0.104668,0.093533,0.042395,0.249093
0.115287,0.079872,0.050673,0.294528
0.118661,0.074772,0.05039,0.276414
0.106365,0.091435,0.047575,0.238874
0.10653,0.11237,0.034459,0.281976
0.097434,0.089423,0.036808,0.27444
0.113562,0.091694,0.041627,0.281316
0.110879,0.071585,0.039021,0.284974
0.115083,0.07461,0.038203,0.264303
0.112663,0.089364,0.040613,0.27647
0.111184,0.072535,0.04481,0.237491
0.119475,0.086145,0.043688,0.274638
0.101858,0.084684,0.038345,0.241629
0.110346,0.092634,0.037391,0.27467
0.097595,0.095136,0.04543,0.286157
0.09373,0.099791,0.045977,0.272727
0.093446,0.097833,0.044222,0.246293
0.095731,0.108025,0.04189,0.264769
0.103869,0.071542,0.063063,0.315209
0.079219,0.108131,0.03413,0.209373
0.092059,0.117351,0.051537,0.229263
0.07609,0.139859,0.03642,0.252911
0.081882,0.110871,0.038779,0.255563
0.100518,0.082441,0.052159,0.296603
0.080058,0.091334,0.044298,0.233167
0.09637,0.113466,0.057845,0.25726
0.070126,0.112319,0.032141,0.230482
0.073119,0.111164,0.039099,0.248778
0.090019,0.073091,0.054223,0.330189
0.075058,0.094577,0.04095,0.279706
0.064944,0.129768,0.038146,0.229358
0.079794,0.088199,0.040793,0.276925
0.11394,0.067899,0.059993,0.318335
0.067203,0.110939,0.036656,0.250291
0.079515,0.101213,0.051691,0.325335
0.07266,0.090957,0.051799,0.312207
0.083794,0.081545,0.052676,0.30134
0.118517,0.088563,0.057962,0.360218
0.097752,0.082598,0.051624,0.382848
0.084815,0.127279,0.042019,0.306136
0.086901,0.132126,0.053585,0.314669
0.102044,0.078495,0.062661,0.37231
0.061936,0.140847,0.035021,0.302799
0.057552,0.162389,0.029865,0.293825
0.053519,0.147875,0.039721,0.292544
0.061325,0.135633,0.040554,0.313304
0.049259,0.135269,0.022082,0.366584
0.058498,0.137777,0.028171,0.326355
0.049507,0.157217,0.022077,0.350895
0.056,0.116276,0.039448,0.346345
0.080475,0.112933,0.049858,0.360883
0.074038,0.107677,0.042331,0.34798
0.055498,0.1436,0.029136,0.297607
0.05642,0.116358,0.034772,0.335543
0.067901,0.140432,0.025926,0.360494
0.046044,0.146239,0.029345,0.348249
0.059508,0.140311,0.03353,0.303731
0.082229,0.113163,0.044665,0.369003
0.093538,0.108736,0.023477,0.268133
0.084308,0.129815,0.026248,0.368474
0.089495,0.098708,0.02692,0.252692
0.082913,0.090222,0.033602,0.233787
0.107576,0.079542,0.044912,0.297798
0.113015,0.088583,0.044581,0.286475
0.103116,0.104415,0.027483,0.258061
0.098044,0.097455,0.024982,0.291775
0.101326,0.100758,0.037784,0.272822
0.092743,0.095687,0.038127,0.28706
0.090442,0.102945,0.041261,0.22673
0.102228,0.103801,0.027392,0.334993
0.09028,0.096442,0.033321,0.251226
0.097958,0.097689,0.022843,0.304891
0.0984,0.097673,0.024115,0.307441
0.087193,0.099914,0.028529,0.244535
0.119311,0.100054,0.032275,0.25745
0.1077,0.102372,0.028416,0.256374
0.115328,0.092724,0.022439,0.237915
0.114421,0.092756,0.026405,0.267208
0.099483,0.085962,0.055733,0.266022
0.095296,0.09743,0.045819,0.251651
0.084984,0.095048,0.049281,0.252556
0.089471,0.090422,0.048186,0.220345
0.118448,0.08626,0.053053,0.252163
0.090126,0.088049,0.058769,0.208493
0.122554,0.07708,0.053214,0.214578
0.131994,0.082975,0.061334,0.252152
0.102513,0.090052,0.044293,0.215288
0.123342,0.08059,0.063804,0.246314
0.08104,0.093212,0.033666,0.188836
0.067003,0.102561,0.032374,0.203662
0.098708,0.105324,0.042739,0.208233
0.076137,0.078118,0.034835,0.150292
0.100644,0.080668,0.047593,0.235236
0.080786,0.082263,0.041353,0.232905
0.087546,0.11221,0.042907,0.202405
0.056232,0.107411,0.026302,0.166235
0.090336,0.111759,0.039157,0.17234
0.101814,0.094792,0.046811,0.246538
0.117866,0.08903,0.05635,0.237294
0.069522,0.084912,0.031425,0.183061
0.122421,0.076397,0.054834,0.255738
0.091039,0.103476,0.035682,0.236314
0.089057,0.113695,0.040956,0.206805
0.093779,0.123239,0.037676,0.201995
0.091691,0.110155,0.039341,0.225976
0.09222,0.114749,0.034425,0.214444
0.099372,0.117757,0.039097,0.245636
0.102836,0.080353,0.053781,0.254216
0.0952,0.128135,0.043513,0.195689
0.093412,0.101892,0.04775,0.234312
0.095984,0.123327,0.039927,0.235213
